adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,Violent,Backdrop Image,Trailer Link
False,/46Os8U0DEPmI0OnvKDxucl6SLVZ.jpg,[27],1008042,en,Talk to Me,"When a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new thrill, until one of them goes too far and unleashes terrifying supernatural forces.",14.5169,/kdPMUMJzyYAc4roD52qavX0nLIC.jpg,2023-07-26,Talk to Me,False,7.16,3153,1,https://image.tmdb.org/t/p/original/46Os8U0DEPmI0OnvKDxucl6SLVZ.jpg,https://www.youtube.com/watch?v=PGo4wfCejsk
False,/tPJQ5wTZMabs8coH320GiEm8PnO.jpg,"[28, 80, 53]",604685,en,Den of Thieves 2: Pantera,"Big Nick is back on the hunt in Europe and closing in on Donnie, who is embroiled in the treacherous and unpredictable world of diamond thieves and the infamous Panther mafia, as they plot a massive heist of the world's largest diamond exchange.",23.092,/rxcyxxarD17xMliStDEhM6y2AYQ.jpg,2025-01-08,Den of Thieves 2: Pantera,False,6.8,370,1,https://image.tmdb.org/t/p/original/tPJQ5wTZMabs8coH320GiEm8PnO.jpg,https://www.youtube.com/watch?v=rzCNYieVIQU
False,/jl2YIADk391yc6Qjy9JhgCRkHJk.jpg,"[16, 18, 35]",1064486,en,Memoir of a Snail,"Forcibly separated from her twin brother when they are orphaned, a melancholic misfit learns how to find confidence within herself amid the clutter of misfortunes and everyday life.",62.7739,/57AgZv1ITeBLShiNdchZ5153evs.jpg,2024-10-17,Memoir of a Snail,False,7.9,343,0,https://image.tmdb.org/t/p/original/jl2YIADk391yc6Qjy9JhgCRkHJk.jpg,https://www.youtube.com/watch?v=q47QUYb0hjc
False,/vfkzNcVzTRCq3C2jYIZtIjSdwf7.jpg,"[27, 53, 28]",1247019,th,ธี่หยด 2,"Three years after his sister's death, Yak relentlessly searches for the dark spirit that killed her in hopes of seeking revenge.",25.8515,/uDW5eeFUYp1vaU2ymEdVBG6g7iq.jpg,2024-10-10,Death Whisperer 2,False,6.965,85,1,https://image.tmdb.org/t/p/original/vfkzNcVzTRCq3C2jYIZtIjSdwf7.jpg,https://www.youtube.com/watch?v=ZCEuUcE9oZw
False,/8JqwRue6rKwj2j8Ous9zifmtwvW.jpg,"[10749, 35]",1204892,en,Picture This,"Single and without a man on the horizon, Pia runs a failing photography studio in London with her best friend Jay. As her sister Sonal prepares for marriage and her mother Laxmi urges her to partner up, a spiritual guru predicts Pia will meet the love of her life among her next five dates. With her family intervening, Pia embarks on a hilarious yet heartfelt quest for love.",14.3774,/r8mUV5bJlUQrco0XWYHUiSVzgdh.jpg,2025-03-05,Picture This,False,6.1,99,0,https://image.tmdb.org/t/p/original/8JqwRue6rKwj2j8Ous9zifmtwvW.jpg,https://www.youtube.com/watch?v=7wWkGWXIshA
False,/xcjJ5khg2yzOa282mza39Lbrm7j.jpg,[27],9552,en,The Exorcist,"When a charming 12-year-old girl takes on the characteristics and voices of others, doctors say there is nothing they can do. As people begin to die, the girl's mother realizes her daughter has been possessed by the Devil. Her daughter's only possible hope lies with two priests and the ancient rite of demonic exorcism.",13.6793,/5x0CeVHJI8tcDx8tUUwYHQSNILq.jpg,1973-12-26,The Exorcist,False,7.731,8104,1,https://image.tmdb.org/t/p/original/xcjJ5khg2yzOa282mza39Lbrm7j.jpg,https://www.youtube.com/watch?v=BU2eYAO31Cc
False,/rGnf32URcZAqdTxtkoC6aUD1GBS.jpg,"[27, 35]",1006724,zh,鬼才之道,"A sheepish rookie ghost must scare the living or risk vanishing forever. With help from a once-lauded mentor, she works to master the art of haunting.",23.773,/yDcc3OWNEtzjDtJly1OyZShtTMV.jpg,2024-08-07,Dead Talents Society,False,6.903,31,0,https://image.tmdb.org/t/p/original/rGnf32URcZAqdTxtkoC6aUD1GBS.jpg,https://www.youtube.com/watch?v=YEMc4m4vYZc
False,/p4INKu77iuTG1o1a5N3Y9vqeEGq.jpg,"[27, 53]",1079485,en,Winnie-the-Pooh: Blood and Honey 2,"Five months following the murders, Christopher Robin struggles to maintain a regular life while dealing with PTSD. However, deep within the 100-Acre-Wood, a destructive rage grows as Pooh, Piglet, Owl, and Tigger find their home and their lives endangered after their existence is revealed.",16.9478,/2sADrLwMQof6yYmrJRSa04tFZuS.jpg,2024-03-26,Winnie-the-Pooh: Blood and Honey 2,False,6.041,351,1,https://image.tmdb.org/t/p/original/p4INKu77iuTG1o1a5N3Y9vqeEGq.jpg,https://www.youtube.com/watch?v=dgIlZOv4M-c
False,/5MnP0h7RcUCeX7gpxMYoMScmfq7.jpg,"[14, 28, 12, 16, 35, 10751]",82702,en,How to Train Your Dragon 2,"Five years have passed since Hiccup and Toothless united the dragons and Vikings of Berk. Now, they spend their time charting unmapped territories. During one of their adventures, the pair discover a secret cave that houses hundreds of wild dragons -- and a mysterious dragon rider who turns out to be Hiccup's mother, Valka. Hiccup and Toothless then find themselves at the center of a battle to protect Berk from a power-hungry warrior named Drago.",13.5753,/d13Uj86LdbDLrfDoHR5aDOFYyJC.jpg,2014-06-05,How to Train Your Dragon 2,False,7.7,9759,0,https://image.tmdb.org/t/p/original/5MnP0h7RcUCeX7gpxMYoMScmfq7.jpg,https://www.youtube.com/watch?v=1Y0erVF9cLI
False,/iXU87IdtNsYt7n6OigPJBDdbFf1.jpg,"[10751, 16, 35, 28]",774370,en,Dog Man,"When a faithful police dog and his human police officer owner are injured together on the job, a harebrained but life-saving surgery fuses the two of them together and Dog Man is born. Dog Man is sworn to protect and serve—and fetch, sit and roll over. As Dog Man embraces his new identity and strives to impress his Chief, he must stop the pretty evil plots of feline supervillain Petey the Cat.",43.77,/89wNiexZdvLQ41OQWIsQy4O6jAQ.jpg,2025-01-24,Dog Man,False,7.768,185,0,https://image.tmdb.org/t/p/original/iXU87IdtNsYt7n6OigPJBDdbFf1.jpg,https://www.youtube.com/watch?v=QaJbAennB_Q
False,/9s9o9RT9Yj6nDuRJjnJm78WFoFl.jpg,"[28, 27, 53, 878]",1051896,en,Arcadian,"In the near future, on a decimated Earth, Paul and his twin sons face terror at night when ferocious creatures awaken. When Paul is nearly killed, the boys come up with a plan for survival, using everything their father taught them to keep him alive.",20.4403,/h4T8Xeydkw53h9uIbulYsss25UF.jpg,2024-04-12,Arcadian,False,6.144,637,1,https://image.tmdb.org/t/p/original/9s9o9RT9Yj6nDuRJjnJm78WFoFl.jpg,https://www.youtube.com/watch?v=HNARuSROxbM
